VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1DPXC,Thurston,Olympia,WA,98502,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,22,188634442,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
1C4RJXN64R,Thurston,Olympia,WA,98502,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,22,270975064,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100
5UXKT0C51G,Thurston,Olympia,WA,98512,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,35,326783089,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067012610
5YJ3E1EA6P,Thurston,Olympia,WA,98501,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,228842246,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
KNDRMDLH7P,Thurston,Olympia,WA,98501,2023,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,22,236654722,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
1N4AZ0CPXD,Thurston,Olympia,WA,98501,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,22,5617937,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
1G1FW6S0XH,Thurston,Olympia,WA,98506,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,259201309,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012223
KNDC3DLC9P,Thurston,Lacey,WA,98503,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,240395025,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011300
YV4H60CM5N,Thurston,Tumwater,WA,98512,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,22,199115983,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910
5YJ3E1EA2J,Thurston,Olympia,WA,98502,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,349687754,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011902
JTJAAAAB9R,Thurston,Lacey,WA,98516,2024,LEXUS,RZ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,267010523,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067012226
WBAJA9C51J,Thurston,Lacey,WA,98516,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,52650,22,194339561,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067012226
JTDKARFP7H,Thurston,Olympia,WA,98506,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,22,280852995,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
1G1FX6S05H,Thurston,Olympia,WA,98512,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,35,275554667,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011810
JN1AZ0CP7B,Thurston,Lacey,WA,98503,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,22,123927114,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011421
5YJ3E1EA4J,Thurston,Olympia,WA,98502,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22,322752307,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012002
1G1RC6S5XH,Thurston,Lacey,WA,98503,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,22,247322806,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011300
1FADP5CU2G,Thurston,Olympia,WA,98513,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,2,320795996,POINT (-122.7654699 46.9970624),PUGET SOUND ENERGY INC,53067012331
5YJ3E1EB1L,Thurston,Centralia,WA,98531,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,20,103440123,POINT (-122.9735677 46.7269138),PUGET SOUND ENERGY INC,53067012720
5YJ3E1EB5K,Thurston,Lacey,WA,98516,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,22,476672717,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067012226
KNDCC3LG6L,Thurston,Lacey,WA,98503,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,22,152718450,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011626
1V2GNPE85P,Thurston,Yelm,WA,98597,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,245447030,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012532
1N4AZ1CP7J,Thurston,Olympia,WA,98502,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,22,350109966,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
1G1FZ6S00P,Thurston,Olympia,WA,98502,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,230832906,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
1G1RB6S58H,Thurston,Olympia,WA,98512,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,35,270543290,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011821
5YJ3E1EA0J,Thurston,Tumwater,WA,98512,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22,260718118,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910
1G1FY6S04M,Thurston,Olympia,WA,98501,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,200842113,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
1N4AZ1CP1K,Thurston,Tumwater,WA,98512,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,22,172722231,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910
1V2VMPE87P,Thurston,Olympia,WA,98501,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,240805323,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010300
5YJYGDEF6M,Thurston,Olympia,WA,98502,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,179730743,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
7SAYGDEF3R,Thurston,Olympia,WA,98513,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,267757255,POINT (-122.7654699 46.9970624),PUGET SOUND ENERGY INC,53067012332
7SAYGDEE3R,Thurston,Rainier,WA,98576,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,267395992,POINT (-122.68993 46.88897),PUGET SOUND ENERGY INC,53067012421
1G1RC6S58G,Thurston,Rainier,WA,98576,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,2,477446126,POINT (-122.68993 46.88897),PUGET SOUND ENERGY INC,53067012530
JA4J24A50J,Thurston,Olympia,WA,98501,2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,22,329827193,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
1FTVW1EV6P,Thurston,Yelm,WA,98597,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,271268679,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012532
1N4AZ1CVXN,Thurston,Olympia,WA,98501,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,205689459,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
7SAYGDEE6P,Thurston,Tumwater,WA,98512,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,259966052,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010920
7SAYGDEE6P,Thurston,Olympia,WA,98516,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,259588997,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067011500
JTMCB3FV4R,Thurston,Tumwater,WA,98501,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,35,267972218,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011720
KNDCR3L10P,Thurston,Rainier,WA,98576,2023,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,232647761,POINT (-122.68993 46.88897),PUGET SOUND ENERGY INC,53067012530
1G1RH6E46E,Thurston,Olympia,WA,98513,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,2,111668623,POINT (-122.7654699 46.9970624),PUGET SOUND ENERGY INC,53067012332
5YJ3E1EA1P,Thurston,Tenino,WA,98589,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,20,261361649,POINT (-122.85135 46.85752),PUGET SOUND ENERGY INC,53067012530
1G1RA6E49D,Thurston,Olympia,WA,98502,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,22,157418817,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
1G1FW6S03J,Thurston,Olympia,WA,98501,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,104911474,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
YSMED3KA1P,Thurston,Tumwater,WA,98501,2023,POLESTAR,PS2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,214755334,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010802
3C3CFFGE7F,Thurston,Olympia,WA,98512,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,35,285123072,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067012730
5YJ3E1EA4P,Thurston,Tenino,WA,98589,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,20,270016722,POINT (-122.85135 46.85752),PUGET SOUND ENERGY INC,53067012620
1G1FY6S05L,Thurston,Olympia,WA,98501,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,22,8950098,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
YV4H60CV4P,Thurston,Olympia,WA,98512,2023,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,35,219602687,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067012730
1N4BZ1CPXK,Thurston,Olympia,WA,98516,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,2,293015320,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067011500
7FCTGBAA8R,Thurston,Tumwater,WA,98501,2024,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,270166781,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011720
WBY83FB02R,Thurston,Tumwater,WA,98512,2024,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,270022714,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910
JTDKARFP6H,Thurston,Olympia,WA,98512,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,35,166228926,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011901
5YJ3E1EB0P,Thurston,Olympia,WA,98506,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,228691606,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
5YJSA1S25F,Thurston,Yelm,WA,98597,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,2,161974606,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012532
1N4AZ0CP0D,Thurston,Tenino,WA,98589,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,20,475628338,POINT (-122.85135 46.85752),PUGET SOUND ENERGY INC,53067012610
1N4BZ1CP5L,Thurston,Rainier,WA,98576,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,2,142167847,POINT (-122.68993 46.88897),PUGET SOUND ENERGY INC,53067012531
7SAYGAEE7N,Thurston,Rainier,WA,98576,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,194180129,POINT (-122.68993 46.88897),PUGET SOUND ENERGY INC,53067012530
JTDACACUXR,Thurston,Olympia,WA,98502,2024,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,35,262467579,POINT (-122.92333 47.03779),NO KNOWN ELECTRIC UTILITY SERVICE,53067011902
1G1FY6S00M,Thurston,Olympia,WA,98501,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,202162019,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
1N4AZ0CP0G,Thurston,Yelm,WA,98597,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,2,231298798,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012421
WB523CF0XR,Thurston,Rainier,WA,98576,2024,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,262831579,POINT (-122.68993 46.88897),PUGET SOUND ENERGY INC,53067012530
5YJYGDEE8M,Thurston,Yelm,WA,98597,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,225831427,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012421
1N4BZ1CPXL,Thurston,Olympia,WA,98502,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22,138933252,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010510
7SAYGDEE0P,Thurston,Olympia,WA,98501,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,249688890,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011821
1G1FZ6S05K,Thurston,Olympia,WA,98501,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,244451651,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
1FTBW9CK6N,Thurston,Rochester,WA,98579,2022,FORD,TRANSIT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,228639806,POINT (-123.08743 46.82175),PUGET SOUND ENERGY INC,53067012730
1G1FY6S08L,Thurston,Olympia,WA,98501,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,22,148672583,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010300
KM8K53AG2P,Thurston,Rainier,WA,98576,2023,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,253308968,POINT (-122.68993 46.88897),PUGET SOUND ENERGY INC,53067012530
1G1FW6S02J,Thurston,Olympia,WA,98501,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,268112071,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
5YJ3E1EA5L,Thurston,Olympia,WA,98512,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,35,124645867,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067012730
YV4H600A1P,Thurston,Olympia,WA,98502,2023,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,35,244603215,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011901
5YJYGDEF0M,Thurston,Lacey,WA,98503,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,175500839,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011200
5YJ3E1EB5L,Thurston,Tumwater,WA,98501,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,35,224235980,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011720
7SAYGDEE1R,Thurston,Yelm,WA,98597,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,263059128,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012422
KNDCS3LF9P,Thurston,Olympia,WA,98502,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,22,249788311,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012001
1C4JJXP66P,Thurston,Yelm,WA,98597,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,2,228162000,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012421
5YJ3E1EB9M,Thurston,Olympia,WA,98502,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,179710023,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012001
JTDKN3DP5C,Thurston,Lacey,WA,98503,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,22,265676533,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011200
1G1FZ6S08M,Thurston,Olympia,WA,98506,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,267645570,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
5YJ3E1EA0P,Thurston,Olympia,WA,98512,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,228655094,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011901
1G1FY6S04N,Thurston,Yelm,WA,98597,2022,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,225961935,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012412
1G1FZ6S01M,Thurston,Olympia,WA,98506,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,156839952,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
1FT6W1EV8P,Thurston,Olympia,WA,98501,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,264627954,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
1FT6W1EV5P,Thurston,Tumwater,WA,98501,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,263042762,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010801
5YJ3E1EB1J,Thurston,Olympia,WA,98512,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,110432815,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011810
3FMTK3SU9P,Thurston,Olympia,WA,98501,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,261296472,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010400
5YJ3E1EB4L,Thurston,Olympia,WA,98502,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,22,103302195,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520
5YJ3E1EA3P,Thurston,Yelm,WA,98597,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,262033551,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012532
1N4AZ0CP8E,Thurston,Olympia,WA,98506,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22,182436474,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
5YJYGDEE3M,Thurston,Olympia,WA,98501,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,144352666,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011821
WBY7Z8C5XJ,Thurston,Olympia,WA,98501,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,22,185498386,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
7SAYGDEF8P,Thurston,Lacey,WA,98503,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,244260194,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011200
KNDPYDDH0R,Thurston,Olympia,WA,98502,2024,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,0,22,265842895,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
5YJ3E1EA5K,Thurston,Olympia,WA,98506,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,22,477699071,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
3FA6P0PU2H,Thurston,Olympia,WA,98501,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,35,475169061,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011821
5YJ3E1EB8L,Thurston,Olympia,WA,98512,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,35,110694300,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067012730
1C4RJXN62R,Thurston,Lacey,WA,98516,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,22,268267184,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067012221
1G1RC6S54J,Thurston,Olympia,WA,98502,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,22,475284722,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100
7PDSGABL5N,Thurston,Olympia,WA,98502,2022,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,219565937,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012001
7SAYGDEE7P,Thurston,Olympia,WA,98513,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,259443453,POINT (-122.7654699 46.9970624),PUGET SOUND ENERGY INC,53067012331
5YJ3E1EB9P,Thurston,Tumwater,WA,98512,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,227452627,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910
7SAYGDEE6N,Thurston,Olympia,WA,98512,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,205952512,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011000
1G1RA6E43C,Thurston,Olympia,WA,98501,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,35,158415498,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011821
KNDC3DLC3N,Thurston,Yelm,WA,98597,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,207673637,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012530
1FT6W1EVXP,Thurston,Olympia,WA,98501,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,264836974,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
JA4J24A55K,Thurston,Olympia,WA,98506,2019,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,22,274918220,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
5YJ3E1EB9N,Thurston,Yelm,WA,98597,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,192712509,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012421
3FMTK3SU5M,Thurston,Yelm,WA,98597,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,245415733,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012532
1FT6W1EV0P,Thurston,Olympia,WA,98501,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,261838286,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010100
